"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","down_num","kf_i","lr","max_len","model_name","output_dir","up_num","AUC_Value_dev","AUC_Value_final_dev","AUC_Value_test","Accuracy_dev","Accuracy_final_dev","Accuracy_test","F_measure_dev","F_measure_final_dev","F_measure_test","Precision_dev","Precision_final_dev","Precision_test","Recall_dev","Recall_final_dev","Recall_test","acc_final_dev","acc_test","model_final_dev","model_save_dir","score_final_dev","score_test","tradeoff_final_dev","tradeoff_test"
"celestial-sweep-164","lt9lhzb6","crashed","-","tabchen","","2022-09-15T05:42:07.000Z","487","31xks6k8","32","2","0","0.00001","256","en_deberta_v3_large","model/task1/cv5","10","","","","","","","","","","","","","","","","","","","","","","",""
"fragrant-sweep-163","1wrbwr4p","crashed","-","tabchen","","2022-09-15T05:36:33.000Z","819","31xks6k8","32","4","0","0.000001","256","en_deberta_v3_large","model/task1/cv5","6","","","","","","","","","","","","","","","","","","","","","","",""
"silver-sweep-162","9hq4i1b2","crashed","-","tabchen","","2022-09-15T05:23:51.000Z","1582","31xks6k8","32","6","0","0.000005","256","en_deberta_v3_large","model/task1/cv5","6","","","","","","","","","","","","","","","","","","","","","","",""
"honest-sweep-161","lt9lhzb6","finished","-","tabchen","","2022-09-15T05:00:18.000Z","2501","31xks6k8","32","10","0","0.00001","256","en_deberta_v3_large","model/task1/cv5","6","0.7957","0.7953","0.787","0.8358","0.762","0.8386","0","0.4228","0","0","0.3078","0","0","0.6749","0","0.7524711135258718","0.7981800088455427","pred","model/task1/cv5/78876f8f-be76-4a8c-a3a3-0acadebd1f46/en_deberta_v3_large","1.1752711135258718","1.2646800088455428","0.19","0.19"
"crimson-sweep-160","1wrbwr4p","finished","-","tabchen","","2022-09-15T04:54:37.000Z","2508","31xks6k8","32","4","0","0.000001","256","en_deberta_v3_large","model/task1/cv5","10","0.7694","0.7761","0.7618","0.8358","0.8285","0.8386","0","0.4179","0","0","0.372","0","0","0.4766","0","0.8187813325727278","0.8369945940441366","pred","model/task1/cv5/eb497db1-b055-4a55-9e55-98b2cfa780ed/en_deberta_v3_large","1.2366813325727275","1.2664945940441366","0.25","0.25"
"still-sweep-159","9hq4i1b2","finished","-","tabchen","","2022-09-15T04:48:18.000Z","2128","31xks6k8","32","10","0","0.000005","256","en_deberta_large","model/task1/cv5","4","0.7995","0.7851","0.767","0.8365","0.7905","0.8382","0.0093","0.4116","0","1","0.3229","0","0.0047","0.5675","0","0.774630483311724","0.8151134145404146","pred","model/task1/cv5/c8fc17b6-3d38-46d7-a120-7e900d67aa2f/en_deberta_large","1.186230483311724","1.2640134145404147","0.19","0.19"
"dauntless-sweep-158","lt9lhzb6","finished","-","tabchen","","2022-09-15T04:16:27.000Z","2622","31xks6k8","32","2","0","0.00001","256","en_deberta_large","model/task1/cv5","4","0.79","0.7822","0.751","0.8358","0.794","0.8389","0","0.4062","0.0038","0","0.3235","1","0","0.5455","0.0019","0.7793480704775193","0.807966808572525","pred","model/task1/cv5/10d6adff-80ea-4ddb-8232-db14eb579aee/en_deberta_large","1.1855480704775192","1.2171668085725251","0.27","0.27"
"dutiful-sweep-157","1wrbwr4p","finished","-","tabchen","","2022-09-15T04:13:16.000Z","2473","31xks6k8","32","1","0","0.00001","256","en_deberta_v3_large","model/task1/cv5","6","0.8024","0.7923","0.7772","0.8365","0.7926","0.8395","0.0093","0.4211","0.0113","1","0.3292","1","0.0047","0.584","0.0057","0.7778127638327221","0.8136585897270108","pred","model/task1/cv5/82573a94-beff-4fc8-aa71-c8ae409f75a7/en_deberta_v3_large","1.1989127638327222","1.2658585897270107","0.2","0.2"
"smooth-sweep-156","9hq4i1b2","finished","-","tabchen","","2022-09-15T03:59:09.000Z","2944","31xks6k8","32","1","0","0.000001","256","en_deberta_v3_large","model/task1/cv5","2","0.7824","0.7735","0.7722","0.835","0.8328","0.8435","0.1429","0.411","0.193","0.4865","0.377","0.5755","0.0837","0.4518","0.116","0.8173134629621128","0.7947612729483771","pred","model/task1/cv5/599a1356-8fda-4152-a931-15f106368862/en_deberta_v3_large","1.2283134629621129","1.2417612729483771","0.27","0.27"
"dulcet-sweep-155","lt9lhzb6","finished","-","tabchen","","2022-09-15T03:32:27.000Z","2633","31xks6k8","32","10","0","0.00002","256","en_deberta_large","model/task1/cv5","6","0.7835","0.7789","0.7585","0.8312","0.8043","0.8401","0.1053","0.4235","0.1528","0.4062","0.3418","0.5281","0.0605","0.5565","0.0894","0.7909595078532125","0.8259371069921241","pred","model/task1/cv5/a3c4bbc2-d56f-4d25-898c-9bdd8bb101ce/en_deberta_large","1.2144595078532123","1.243137106992124","0.27","0.27"
"wobbly-sweep-154","1wrbwr4p","finished","-","tabchen","","2022-09-15T03:29:28.000Z","2623","31xks6k8","32","6","0","0.00001","256","en_deberta_large","model/task1/cv5","1","0.7784","0.77","0.766","0.835","0.8406","0.8389","0","0.3412","0.0113","0","0.3659","0.6","0","0.3196","0.0057","0.8202922599344965","0.7877580893635772","pred","model/task1/cv5/bf0aef08-388c-47cf-824e-297209d5aa7a/en_deberta_large","1.1614922599344966","1.1949580893635772","0.26","0.26"
"earthy-sweep-153","9hq4i1b2","finished","-","tabchen","","2022-09-15T03:25:25.000Z","2014","31xks6k8","32","4","0","0.00002","256","en_deberta_v3_large","model/task1/cv5","4","0.7476","0.7562","0.7396","0.8365","0.7837","0.8389","0.0093","0.3796","0.0187","1","0.3015","0.5556","0.0047","0.5124","0.0095","0.7735252893544518","0.8037901274285446","pred","model/task1/cv5/4d8029dc-654a-49fa-af1f-7c5bb0738e71/en_deberta_v3_large","1.1531252893544517","1.2230901274285446","0.2","0.2"
"zany-sweep-152","lt9lhzb6","finished","-","tabchen","","2022-09-15T02:48:43.000Z","2619","31xks6k8","32","2","0","0.000005","256","en_deberta_large","model/task1/cv5","1","0.7806","0.7646","0.7657","0.8358","0.8207","0.8425","0.1079","0.3668","0.1464","0.5","0.3372","0.5867","0.0605","0.4022","0.0837","0.8041821183255933","0.7933184130185698","pred","model/task1/cv5/3a714b9e-4ecf-4900-89c5-d43f46135305/en_deberta_large","1.1709821183255933","1.23171841301857","0.21","0.21"
"vibrant-sweep-151","1wrbwr4p","finished","-","tabchen","","2022-09-15T02:45:44.000Z","2618","31xks6k8","32","1","0","0.00001","256","en_deberta_large","model/task1/cv5","6","0.7754","0.7754","0.7598","0.8358","0.8321","0.8416","0.0693","0.3886","0.0719","0.5","0.3667","0.6667","0.0372","0.4132","0.038","0.8171920043973933","0.8467916748701414","pred","model/task1/cv5/450b966e-badc-4ef3-a378-7806a6352bbe/en_deberta_large","1.205792004397393","1.2089916748701417","0.24","0.24"
"iconic-sweep-150","9hq4i1b2","finished","-","tabchen","","2022-09-15T02:36:09.000Z","2946","31xks6k8","32","4","0","0.000005","256","en_deberta_v3_large","model/task1/cv5","6","0.797","0.7846","0.7754","0.8319","0.8374","0.8444","0.1406","0.4266","0.2188","0.439","0.3917","0.5772","0.0837","0.4683","0.135","0.8232550058133865","0.8500053831243174","pred","model/task1/cv5/bb66c6ae-cb58-4d83-8130-770ac24e36c9/en_deberta_v3_large","1.2498550058133864","1.2779053831243177","0.22","0.22"
"kind-sweep-149","lt9lhzb6","finished","-","tabchen","","2022-09-15T02:07:10.000Z","2487","31xks6k8","32","10","0","0.00002","256","en_deberta_v3_large","model/task1/cv5","1","0.7642","0.7619","0.7688","0.8365","0.8132","0.8392","0.0183","0.3831","0.0368","0.6667","0.334","0.5556","0.0093","0.449","0.019","0.7927963872157984","0.7885306829088584","pred","model/task1/cv5/7ee2fcdc-cb9e-4577-9fe8-3f10bcce5de6/en_deberta_v3_large","1.1758963872157984","1.2302306829088585","0.17","0.17"
"light-sweep-148","1wrbwr4p","finished","-","tabchen","","2022-09-15T02:04:13.000Z","2483","31xks6k8","32","6","0","0.00001","256","en_deberta_v3_large","model/task1/cv5","1","0.7884","0.7786","0.7662","0.8358","0.7994","0.8386","0","0.4174","0","0","0.3339","0","0","0.5565","0","0.785491520515287","0.7425153102013273","pred","model/task1/cv5/cddfeb6f-95c6-4fd2-985d-099edc4af6f2/en_deberta_v3_large","1.202891520515287","1.1718153102013271","0.17","0.17"
"driven-sweep-147","9hq4i1b2","finished","-","tabchen","","2022-09-15T01:54:46.000Z","2476","31xks6k8","32","1","0","0.00001","256","en_deberta_v3_large","model/task1/cv5","6","0.7941","0.7872","0.7713","0.838","0.8093","0.8352","0.209","0.4261","0.2115","0.5283","0.3485","0.4645","0.1302","0.5482","0.1369","0.7993143234560665","0.817632729049624","pred","model/task1/cv5/b052374d-5488-4cef-8d85-d988017612df/en_deberta_v3_large","1.2254143234560664","1.247732729049624","0.21","0.21"
"drawn-sweep-146","1wrbwr4p","finished","-","tabchen","","2022-09-15T01:28:48.000Z","2121","31xks6k8","32","6","0","0.00002","256","en_deberta_large","model/task1/cv5","1","0.7586","0.7461","0.7468","0.8358","0.8563","0.8386","0","0.2491","0","0","0.3829","0","0","0.1846","0","0.8345940083747722","0.8129652184121995","pred","model/task1/cv5/9864b178-d51e-4c0f-ad7b-1f56db1d68a8/en_deberta_large","1.083694008374772","1.1675652184121996","0.24","0.24"
"gentle-sweep-145","lt9lhzb6","finished","-","tabchen","","2022-09-15T01:25:40.000Z","2477","31xks6k8","32","2","0","0.000005","256","en_deberta_v3_large","model/task1/cv5","6","0.8081","0.7971","0.7782","0.8358","0.8296","0.8386","0","0.4385","0","0","0.3816","0","0","0.5152","0","0.8169520864914612","0.8420921285855809","pred","model/task1/cv5/358a8e6d-3eaf-4df1-be4e-fedba3e6d6bc/en_deberta_v3_large","1.2554520864914611","1.269692128585581","0.3","0.3"
"divine-sweep-144","9hq4i1b2","finished","-","tabchen","","2022-09-15T01:13:27.000Z","2475","31xks6k8","32","1","0","0.000005","256","en_deberta_v3_large","model/task1/cv5","6","0.7865","0.7916","0.7692","0.8358","0.8221","0.8386","0","0.4318","0","0","0.3675","0","0","0.5234","0","0.8110014830458416","0.8384910311107507","pred","model/task1/cv5/842b3833-333d-4580-927c-b3bd04b500a8/en_deberta_v3_large","1.2428014830458416","1.2666910311107509","0.3","0.3"
"leafy-sweep-143","1wrbwr4p","finished","-","tabchen","","2022-09-15T00:47:18.000Z","2485","31xks6k8","32","1","0","0.00001","256","en_deberta_v3_large","model/task1/cv5","1","0.7714","0.7687","0.7675","0.8358","0.8072","0.8386","0","0.4109","0","0","0.3393","0","0","0.5207","0","0.8008763068571543","0.7974507458465103","pred","model/task1/cv5/3f417a3c-e10a-4645-9b80-f9b3d3b21bef/en_deberta_v3_large","1.2117763068571543","1.1982507458465104","0.19","0.19"
"blooming-sweep-142","lt9lhzb6","finished","-","tabchen","","2022-09-15T00:25:26.000Z","3608","31xks6k8","32","1","0","0.000001","256","en_deberta_large","model/task1/cv5","2","0.7886","0.772","0.7595","0.8373","0.8598","0.8392","0.2082","0.2423","0.2362","0.5185","0.4013","0.5062","0.1302","0.1736","0.154","0.839937455259947","0.8383429657294418","pred","model/task1/cv5/edfc5e0f-048a-4c08-b218-bc6b8b7d8c15/en_deberta_large","1.082237455259947","1.2362429657294418","0.35","0.35"
"balmy-sweep-141","9hq4i1b2","finished","-","tabchen","","2022-09-15T00:21:28.000Z","3112","31xks6k8","32","2","0","0.000001","256","en_deberta_large","model/task1/cv5","6","0.7939","0.7847","0.7778","0.8296","0.8111","0.8444","0.1186","0.4345","0.1888","0.3947","0.3542","0.596","0.0698","0.562","0.1122","0.8029251061803286","0.827273181593965","pred","model/task1/cv5/e94013fd-ae17-4803-9310-34e3c1704e70/en_deberta_large","1.2374251061803283","1.267573181593965","0.24","0.24"
"firm-sweep-140","1wrbwr4p","finished","-","tabchen","","2022-09-15T00:03:29.000Z","2624","31xks6k8","32","2","0","0.00002","256","en_deberta_large","model/task1/cv5","6","0.7687","0.7681","0.7625","0.8358","0.8211","0.8386","0","0.3962","0","0","0.3511","0","0","0.4545","0","0.8036917044875607","0.8180209824048321","pred","model/task1/cv5/6b9a216a-4319-476a-813c-ee26e11aad3a/en_deberta_large","1.1998917044875608","1.217220982404832","0.32","0.32"
"clear-sweep-139","lt9lhzb6","finished","-","tabchen","","2022-09-14T23:33:13.000Z","3126","31xks6k8","32","2","0","0.00001","256","en_deberta_large","model/task1/cv5","10","0.7762","0.7522","0.7528","0.8365","0.8026","0.8425","0.1008","0.3854","0.1604","0.5217","0.3222","0.5765","0.0558","0.4793","0.0932","0.7878079857084804","0.8103998282838378","pred","model/task1/cv5/e1a3469f-682e-4eab-a2ad-75e040f03fa3/en_deberta_large","1.1732079857084805","1.2344998282838378","0.18","0.18"
"worldly-sweep-138","1wrbwr4p","finished","-","tabchen","","2022-09-14T23:27:23.000Z","2130","31xks6k8","32","6","0","0.00001","256","en_deberta_large","model/task1/cv5","6","0.7833","0.7787","0.7608","0.8358","0.7851","0.8379","0","0.3984","0","0","0.312","0","0","0.551","0","0.7791615778613092","0.803792324113939","pred","model/task1/cv5/9a2cc5ce-ad45-41df-b3d6-31cfe4bc02df/en_deberta_large","1.177561577861309","1.234292324113939","0.2","0.2"
"splendid-sweep-137","9hq4i1b2","finished","-","tabchen","","2022-09-14T23:21:07.000Z","3615","31xks6k8","32","10","0","0.000001","256","en_deberta_large","model/task1/cv5","10","0.7941","0.7775","0.7907","0.8205","0.8093","0.8392","0.3228","0.411","0.3747","0.4242","0.3419","0.5032","0.2605","0.5152","0.2985","0.8026722925293681","0.8367524527458571","pred","model/task1/cv5/f1b77269-7ae5-4051-a5bd-674080d8c2ae/en_deberta_large","1.213672292529368","1.284052452745857","0.34","0.34"
"toasty-sweep-136","lt9lhzb6","finished","-","tabchen","","2022-09-14T22:51:53.000Z","2475","31xks6k8","32","2","0","0.000005","256","en_deberta_v3_large","model/task1/cv5","4","0.791","0.8042","0.7859","0.835","0.8115","0.8392","0","0.4468","0.0113","0","0.3597","0.75","0","0.5895","0.0057","0.7975083704899274","0.8230426091868126","pred","model/task1/cv5/b7a416b8-63ea-40ff-9db9-491e80e66ab4/en_deberta_v3_large","1.2443083704899274","1.2781426091868129","0.25","0.25"
"grateful-sweep-135","9hq4i1b2","finished","-","tabchen","","2022-09-14T22:39:49.000Z","2472","31xks6k8","32","4","0","0.000005","256","en_deberta_v3_large","model/task1/cv5","1","0.7957","0.7823","0.7762","0.838","0.8349","0.8404","0.0275","0.3696","0.0406","1","0.3646","0.6875","0.014","0.3747","0.0209","0.8199806664459688","0.7990033225298742","pred","model/task1/cv5/a156225b-08eb-4c05-9c19-45418226f963/en_deberta_v3_large","1.1895806664459687","1.2006033225298742","0.26","0.26"
"peach-sweep-134","1wrbwr4p","finished","-","tabchen","","2022-09-14T22:38:00.000Z","2957","31xks6k8","32","1","0","0.000005","256","en_deberta_v3_large","model/task1/cv5","10","0.7799","0.7682","0.7718","0.8342","0.8083","0.8435","0.1686","0.3868","0.2202","0.4783","0.3295","0.5625","0.1023","0.4683","0.1369","0.7979206847600301","0.81114923153192","pred","model/task1/cv5/216bb6e9-ccc1-4b47-8997-ab2f3365c741/en_deberta_v3_large","1.18472068476003","1.25204923153192","0.24","0.24"
"pleasant-sweep-133","lt9lhzb6","finished","-","tabchen","","2022-09-14T22:08:15.000Z","2613","31xks6k8","32","4","0","0.00002","256","en_deberta_large","model/task1/cv5","1","0.7743","0.7439","0.7501","0.8358","0.8598","0.8398","0.0529","0.2964","0.0679","0.5","0.4213","0.5588","0.0279","0.2287","0.0361","0.8442387746942621","0.8149497994500308","pred","model/task1/cv5/69416b0e-cadd-4879-b67a-ac2a1bce19c1/en_deberta_large","1.140638774694262","1.1657497994500308","0.34","0.34"
"sweet-sweep-132","9hq4i1b2","finished","-","tabchen","","2022-09-14T21:55:54.000Z","2630","31xks6k8","32","10","0","0.00001","256","en_deberta_large","model/task1/cv5","10","0.791","0.7931","0.7807","0.8358","0.7535","0.8386","0","0.4277","0","0","0.3054","0","0","0.7135","0","0.7452301580089613","0.7745803958177432","pred","model/task1/cv5/fcdf298e-d622-437d-b7ba-a545ef4cbda1/en_deberta_large","1.1729301580089613","1.2295803958177431","0.18","0.18"
"ancient-sweep-131","1wrbwr4p","finished","-","tabchen","","2022-09-14T21:37:40.000Z","3615","31xks6k8","32","1","0","0.000001","256","en_deberta_large","model/task1/cv5","4","0.8007","0.7812","0.7707","0.8319","0.7976","0.8367","0.2994","0.42","0.2944","0.4747","0.3333","0.4868","0.2186","0.5675","0.211","0.7880084493562213","0.8223482595834285","pred","model/task1/cv5/22ebf2bd-5c13-4ffe-9292-2e9f0f61854b/en_deberta_large","1.208008449356221","1.2533482595834284","0.34","0.34"
"fluent-sweep-130","lt9lhzb6","finished","-","tabchen","","2022-09-14T21:32:50.000Z","2118","31xks6k8","32","10","0","0.000005","256","en_deberta_large","model/task1/cv5","1","0.7859","0.7605","0.7597","0.8342","0.8556","0.8447","0.0441","0.2481","0.1424","0.4167","0.3785","0.6562","0.0233","0.1846","0.0798","0.829081936600744","0.7264953881421337","pred","model/task1/cv5/87db58c0-ac2b-4af4-a146-47ff070778dc/en_deberta_large","1.077181936600744","1.1404953881421336","0.19","0.19"
"zesty-sweep-129","1wrbwr4p","finished","-","tabchen","","2022-09-14T21:03:47.000Z","2026","31xks6k8","32","10","0","0.00002","256","en_deberta_v3_large","model/task1/cv5","1","0.6524","0.6652","0.6412","0.8358","0.8709","0.8386","0","0","0","0","0","0","0","0","0","0.8575060702312525","0.8703580628786693","pred","model/task1/cv5/87a810be-e023-41b6-b541-000094e7aff7/en_deberta_v3_large","0.8575060702312525","0.8703580628786693","0.55","0.55"
"deft-sweep-128","9hq4i1b2","finished","-","tabchen","","2022-09-14T20:55:34.000Z","3614","31xks6k8","32","10","0","0.00002","256","en_deberta_large","model/task1/cv5","1","0.763","0.7368","0.7442","0.835","0.7926","0.8343","0.2703","0.3515","0.2351","0.4938","0.2948","0.4611","0.186","0.4353","0.1578","0.778290612657923","0.7781447305859462","pred","model/task1/cv5/7701545a-d2d2-48c1-a229-61648e0e2b45/en_deberta_large","1.129790612657923","1.1646447305859462","0.2","0.2"
"sleek-sweep-127","lt9lhzb6","finished","-","tabchen","","2022-09-14T20:43:17.000Z","2966","31xks6k8","32","10","0","0.000001","256","en_deberta_v3_large","model/task1/cv5","4","0.7911","0.7897","0.7851","0.8358","0.7951","0.8438","0.1296","0.4182","0.175","0.5","0.3301","0.5934","0.0744","0.5702","0.1027","0.7898594803017586","0.8049153024192013","pred","model/task1/cv5/c53c7872-9276-4069-99d4-85e65425dff4/en_deberta_v3_large","1.2080594803017586","1.2641153024192011","0.27","0.27"
"stilted-sweep-126","1wrbwr4p","finished","-","tabchen","","2022-09-14T20:22:19.000Z","2482","31xks6k8","32","4","0","0.00001","256","en_deberta_v3_large","model/task1/cv5","10","0.7909","0.7973","0.785","0.8319","0.7809","0.8413","0.1603","0.4178","0.2034","0.4468","0.318","0.5366","0.0977","0.6088","0.1255","0.7697928129378204","0.7950360041183363","pred","model/task1/cv5/71d34466-e6ef-4310-8daf-0f5f9b047103/en_deberta_v3_large","1.1875928129378204","1.2553360041183363","0.21","0.21"
"confused-sweep-125","9hq4i1b2","finished","-","tabchen","","2022-09-14T20:03:18.000Z","3129","31xks6k8","32","6","0","0.000001","256","en_deberta_large","model/task1/cv5","6","0.8021","0.7867","0.7814","0.8266","0.7954","0.8432","0.1236","0.4267","0.2078","0.3636","0.3344","0.563","0.0744","0.5895","0.1274","0.7856982712404463","0.8278681448821839","pred","model/task1/cv5/447a1471-5ed1-4e52-a456-9f128383ed97/en_deberta_large","1.2123982712404464","1.295568144882184","0.23","0.23"
"upbeat-sweep-124","1wrbwr4p","finished","-","tabchen","","2022-09-14T19:40:56.000Z","2474","31xks6k8","32","4","0","0.00001","256","en_deberta_v3_large","model/task1/cv5","6","0.7865","0.7871","0.7772","0.8358","0.8321","0.8386","0","0.4201","0","0","0.3792","0","0","0.4711","0","0.8204016274336523","0.8283148841545179","pred","model/task1/cv5/936b321d-79e9-4c45-a192-22c5147a1776/en_deberta_v3_large","1.2405016274336522","1.246514884154518","0.21","0.21"
"royal-sweep-123","lt9lhzb6","finished","-","tabchen","","2022-09-14T19:38:34.000Z","3875","31xks6k8","32","4","0","0.000001","256","en_deberta_v3_large","model/task1/cv5","1","0.78","0.7657","0.7629","0.8151","0.8641","0.8281","0.3046","0.2298","0.3533","0.3985","0.4286","0.45","0.2465","0.157","0.2909","0.8406431647481981","0.8008673668088664","pred","model/task1/cv5/df33f93b-b23f-438e-ae2b-e2563043be60/en_deberta_v3_large","1.0704431647481982","1.2164673668088664","0.42","0.42"
"lilac-sweep-122","9hq4i1b2","finished","-","tabchen","","2022-09-14T19:19:35.000Z","2618","31xks6k8","32","1","0","0.00001","256","en_deberta_large","model/task1/cv5","1","0.7841","0.7546","0.7584","0.838","0.7606","0.841","0.0862","0.3786","0.116","0.5882","0.2847","0.5667","0.0465","0.5647","0.0646","0.7496225927602798","0.7724734054478516","pred","model/task1/cv5/9eb3a916-7fe4-4b24-bcf7-70da50b0fbd7/en_deberta_large","1.1282225927602798","1.1873734054478515","0.21","0.21"
