text,fname,sentence_index
"Hi, Charlie, there you are.",S01E01,0
Nine months old and look how cute you are.,S01E01,1
And look how cute I am.,S01E01,2
"It's your big sister Teddy here,",S01E01,3
And I'm making this video diary,S01E01,4
To help you survive our,S01E01,5
Special family.,S01E01,6
"Oh, hey.",S01E01,7
Looks like dad taught you how to eat bananas.,S01E01,8
"Oh, and there's mom,",S01E01,9
Looking lovelier than ever this morning.,S01E01,10
Not in the mood.,S01E01,11
Okay.,S01E01,12
I think you've had enough bananas.,S01E01,13
So we're switching to sweet peas!,S01E01,14
You're gonna love them.,S01E01,15
"Look, mommy thinks they're so yummy.",S01E01,16
"Very smart. Always make mommy try it first, okay?",S01E01,17
"Oh, and there's your older brother PJ",S01E01,18
Doing today's homework at the last minute as usual.,S01E01,19
It's not today's homework.,S01E01,20
This is yesterday's homework.,S01E01,21
There's a chance you two will be,S01E01,22
in high school together.,S01E01,23
"Oh, and there's dad preparing for another day's work.",S01E01,24
He kills bugs for a living.,S01E01,25
"Honey, come on.",S01E01,26
we've been through this.,S01E01,27
I don't kill bugs.,S01E01,28
I'm a pest control specialist.,S01E01,29
Either way,S01E01,30
So now you've met the whole family.,S01E01,31
Forgetting somebody?,S01E01,32
Gabe! no no no.,S01E01,33
I didn't forget about you.,S01E01,34
I was just saving the best for last.,S01E01,35
"Gharlie, that was your younger older brother Gabe.",S01E01,36
You want to say something to Charlie?,S01E01,37
You ruined my life.,S01E01,38
"Okay, so it's taking Gabe a little bit longer",S01E01,39
To get used to you.,S01E01,40
You were kind of a surprise.,S01E01,41
I thought surprises were supposed to be good.,S01E01,42
And cut.,S01E01,43
"Okay, gang, listen up.",S01E01,44
I'm going back to work tonight at the hospital,S01E01,45
"For the first time since Charlie was born,",S01E01,46
So I want everyone to stay at home,S01E01,47
- and help dad with the baby.,S01E01,48
"- Wait-- no, mom.",S01E01,49
I'm not gonna be here tonight.,S01E01,50
I have a study date at the library.,S01E01,51
Don't you mean studly date,S01E01,52
With Spencer?,S01E01,53
"Oh, save it for your pillow.",S01E01,54
"I'm sorry, Teddy, but you're just gonna have to reschedule.",S01E01,55
"But, dad--",S01E01,56
"- Bob! - Uh, dad's not available right now.",S01E01,57
"Mom, don't take this the wrong way,",S01E01,58
But why did you guys have to have another baby?,S01E01,59
"Well, because three kids was just too easy.",S01E01,60
Three's for quitters.,S01E01,61
"And Teddy, you know better than to schedule",S01E01,62
a study date with a boy I've never met.,S01E01,63
"Come on. as dad, it's my responsibility",S01E01,64
to know every detail of my kids' lives.,S01E01,65
Oh yeah?,S01E01,66
What school do I go to?,S01E01,67
Um-- the one named after that president.,S01E01,68
"Hey, you know what? I've got to drive you kids to school.",S01E01,69
- Let's go.,S01E01,70
"- Wait, I haven't had breakfast yet.",S01E01,71
"- Come on, let's go. - Most important meal of the day",S01E01,72
- Never got it. - Let's go!,S01E01,73
- I've gotta get you to Roosevelt?  - Lincoln.,S01E01,74
Got it.,S01E01,75
Today's all burnt toast{\i0},S01E01,76
"Running late, and dad jokes{\i0}",S01E01,77
Has anybody seen my left shoe{\i0},S01E01,78
"I close my eyes, take a bite{\i0}",S01E01,79
"Grab a ride, laugh out loud{\i0}",S01E01,80
There it is up on the roof{\i0},S01E01,81
"I've been there, I've survived{\i0}",S01E01,82
So just take my advice{\i0},S01E01,83
"Hang in there, baby, things are crazy{\i0}",S01E01,84
But I know your future is bright{\i0},S01E01,85
"Hang in there, Baby{\i0}",S01E01,86
There is no maybe{\i0},S01E01,87
Eveything turns out all right{\i0},S01E01,88
Sure life is up and down{\i0},S01E01,89
"But trust me, it comes back all around{\i0}",S01E01,90
You're gonna love who you turn out to be{\i0},S01E01,91
"Hang in there, Baby{\i0}",S01E01,92
"Bob honey, I'm leaving for work!",S01E01,93
"Okay, honey, here's Charlie's schedule.",S01E01,94
"It tells you when to feed her,",S01E01,95
When to change her and when to put her down.,S01E01,96
"Sweetheart, would you relax?",S01E01,97
Big daddy's got this all under control.,S01E01,98
"Okay, just because that's on your barbecue apron",S01E01,99
Doesn't make it true.,S01E01,100
"Now if charlie gets fussy, her rubber ducky will calm her down.",S01E01,101
They're all over the place. Please be careful--,S01E01,102
- They're all over the place. - Honey,S01E01,103
You seem to forget I was fully involved,S01E01,104
in the raising of three kids.,S01E01,105
"Oh, yeah? When's my birthday?",S01E01,106
- July 12th.,S01E01,107
- November 23rd.,S01E01,108
Got it.,S01E01,109
"Good luck, Charlie.",S01E01,110
Mwah! Bye.,S01E01,111
Bye.,S01E01,112
"Hey, dad?",S01E01,113
- Yeah? - I have a homework question.,S01E01,114
"Okay, fire away.",S01E01,115
Can the average human lick his own armpit?,S01E01,116
- Yeah.,S01E01,117
- Thanks.,S01E01,118
"So what was that, like a science question?",S01E01,119
Nope.,S01E01,120
I'll get it.,S01E01,121
I'll get it.,S01E01,122
I'll get it. Nobody else get it!,S01E01,123
- Hi.,S01E01,124
- Hi.,S01E01,125
Hi!,S01E01,126
I'm Teddy's dad.,S01E01,127
"Nice to meet you, sir.",S01E01,128
"Uh, Spencer and I are studying",S01E01,129
"- for our biology test tomorrow. - Are you, now?",S01E01,130
