id,Dialogue_id,Utterance_id,Sentence,Speaker,Label
0,1,0,"Hi, Charlie, there you are.",Teddy,0
1,1,1,Nine months old and look how cute you are.,Teddy,0
2,1,2,And look how cute I am.,Teddy,0
3,1,3,"It's your big sister Teddy here, And I'm making this video diary To help you survive our Special family.",Teddy,0
4,1,4,"Oh, hey.",Teddy,0
5,1,5,Looks like dad taught you how to eat bananas.,Teddy,0
6,1,6,"Oh, and there's mom, Looking lovelier than ever this morning.",Teddy,0
7,1,7,Not in the mood.,Amy,0
8,1,8,Okay.,Amy,0
9,1,9,I think you've had enough bananas.,Amy,0
10,1,10,So we're switching to sweet peas!,Amy,0
11,1,11,You're gonna love them.,Amy,0
12,1,12,"Look, mommy thinks they're so yummy.",Amy,0
13,1,13,Very smart.,Teddy,0
14,1,14,"Always make mommy try it first, okay?",Teddy,0
15,1,15,"Oh, and there's your older brother PJ Doing today's homework at the last minute as usual.",Teddy,0
16,1,16,It's not today's homework.,PJ,0
17,1,17,This is yesterday's homework.,PJ,1
18,1,18,There's a chance you two will be in high school together.,Teddy,0
19,1,19,"Oh, and there's dad preparing for another day's work.",Teddy,0
20,1,20,He k*ll bugs for a living.,Teddy,0
21,1,21,"Honey, come on.",Bob,0
22,1,22,we've been through this.,Bob,0
23,1,23,I don't k*ll bugs.,Bob,0
24,1,24,I'm a pest control specialist.,Bob,1
25,1,25,Either way So now you've met the whole family.,Teddy,0
26,1,26,Forgetting somebody?,Gabe,0
27,1,27,Gabe!,Teddy,0
28,1,28,no no no.,Teddy,0
29,1,29,I didn't forget about you.,Teddy,0
30,1,30,I was just saving the best for last.,Teddy,0
31,1,31,"Gharlie, that was your younger older brother Gabe.",Teddy,0
32,1,32,You want to say something to Charlie?,Teddy,0
33,1,33,You ruined my life.,Gabe,0
34,1,34,"Okay, so it's taking Gabe a little bit longer To get used to you.",Teddy,0
35,1,35,You were kind of a surprise.,Teddy,0
36,1,36,I thought surprises were supposed to be good.,Gabe,1
37,1,37,And cut.,Teddy,0
38,1,38,"Okay, gang, listen up.",Amy,0
39,1,39,"I'm going back to work tonight at the hospital For the first time since Charlie was born, So I want everyone to stay at home",Amy,0
40,1,40,and help dad with the baby.,Amy,0
41,1,41,"Wait no, mom.",Teddy,0
42,1,42,I'm not gonna be here tonight.,Teddy,0
43,1,43,I have a study date at the library.,Teddy,0
44,1,44,Don't you mean 'studly' date With Spencer?,PJ,0
45,1,45,"Oh, save it for your pillow.",Teddy,0
46,1,46,"I'm sorry, Teddy, but you're just gonna have to reschedule.",Amy,0
47,1,47,"But, dad ",Teddy,0
48,1,48,Bob!,Amy,0
49,1,49,"Uh, dad's not available right now.",Bob,1
50,1,50,"Mom, don't take this the wrong way, But why did you guys have to have another baby?",Teddy,0
51,1,51,"Well, because three kids was just too easy.",Amy,1
52,1,52,Three's for quitters.,Amy,0
53,1,53,"And Teddy, you know better than to schedule a study date with a boy I've never met.",Bob,0
54,1,54,Come on.,Bob,0
55,1,55,"as dad, it's my responsibility to know every detail of my kids' lives.",Bob,0
56,1,56,Oh yeah?,Bob,0
57,1,57,What school do I go to?,Gabe,0
58,1,58,Um the one named after that president.,Bob,0
59,1,59,"Hey, you know what?",Bob,0
60,1,60,I've got to drive you kids to school.,Bob,0
61,1,61,Let's go.,Teddy,0
62,1,62,"Wait, I haven't had breakfast yet.",Gabe,0
63,1,63,"Come on, let's go.",Bob,0
64,1,64,Most important meal of the day - Never got it.,Gabe,0
65,1,65,Let's go!,Bob,0
