id,Dialogue_id,Utterance_id,Sentence,speaker,Label
6353,1,0,Hi.,Amy,0
6354,1,1,Hey.,Bob,0
6355,1,2,"Who is this little ballerina? It's Charlie, your fourth and final child, right? Isn't that dress adorable? I bought it for her first ballet class, which you are taking her to, because I have to work tomorrow.",Amy,0
6356,1,3,"But, honey, I'm supposed to I'd be happy to.",Bob,0
6357,1,4,"And I need you to videotape it, - because I don't want to miss a thing.",Amy,0
6358,1,5,But the camera I I'd be happy to.,Bob,1
6359,1,6,Ballet what a stupid thing to do.,Gabe,0
6360,1,7,"Actually, your father took ballet in High School.",Amy,0
6361,1,8,Great.,Gabe,0
6362,1,9,Another image to keep me up at night.,Gabe,1
6363,1,10,"Actually, our football coach thought that taking ballet would help our agility and balance.",Bob,0
6364,1,11,Either that or he was just really messing with us.,Bob,1
6365,1,12,You should've seen your dad in his tights.,Amy ,0
6366,1,13,He looked hot.,Amy ,0
6367,1,14,"Yeah, the whole idea of 'hot' must've been different in the olden days.",Gabe ,1
6368,2,0,"鈾?- Mr.Others, can I talk to you - Hold on.",Teddy,0
6369,2,1,"See - Ah! Now what is it? Oh, well, you're gonna laugh when you hear this, but you actually made a mistake.",Teddy,0
6370,2,2,So this is where you'd be laughing.,Teddy,1
6371,2,3,"Anyways, um, see, this answer here? You marked it wrong.",Teddy,0
6372,2,4,It is wrong.,Others,0
6373,2,5,But the correct answer is b.,Teddy,0
6374,2,6,"Yes, but you did not completely shade in the oval next to the b, so it is wrong.",Others,0
6375,2,7,"You're kidding, right? Miss Duncan, I haven't kidded since I've never kidded.",Others,0
6376,2,8,Good to know.,Teddy,0
6377,2,9,"So you're gonna change my grade, right? - No, I'm not.",Teddy,0
6378,2,10,But that's not fair.,Teddy,0
6379,2,11,This is me completely shading in the oval next to 'I don't care.,Others,0
6380,3,0,' Hmm? There she is.,PJ,0
6381,3,1,Happy one-week-aversary.,PJ,0
6382,3,2,"Oh, PJ., you remembered.",Skyler,0
6383,3,3,"Yeah, and they said it wouldn't last.",PJ,0
6384,3,4,"They did? Who are they? No, it's just an expression.",PJ,0
6385,3,5,Wow.,Skyler,0
6386,3,6,It's so fun going out with a smart guy.,Skyler,0
6387,3,7,I wrote a poem for you.,Skyler,0
6388,3,8,"Oh, let me see.",PJ,0
6389,3,9,"P is for the way you play guitar, j is for the jokes you tell.",PJ,0
6390,3,10," Oh, that's beautiful.",PJ,0
6391,3,11,"Yeah, the hard part was getting it to rhyme, so I didn't.",Skyler,1
6392,3,12,"Oh oh, I have a gift for you too.",PJ,0
6393,3,13,A necklace? - Yeah.,Skyler,0
6394,3,14,What's this? - It's a piece of churro.,PJ,0
6395,3,15,It is the last bite of the first snack we ever shared.,PJ,0
6396,3,16,"Oh, that makes me so happy.",Skyler,0
6397,3,17,Now I'm sad.,Skyler,0
6398,3,18,"What's wrong? Oh, PJ., you know me so well.",PJ,0
6399,3,19,Something is wrong.,Skyler,1
6400,3,20,My ex-boyfriend keeps texting me.,Skyler,0
6401,3,21,He wants to get back together.,Skyler,0
6402,3,22,You're wearing my churro.,PJ,0
6403,3,23,We're at the churro stage.,PJ,1
6404,3,24,"Well, I'll talk to this guy, - set him straight.",PJ,0
6405,3,25,Would you? - Yeah.,Skyler,0
6406,3,26,Who is he? - His name's brock and he's Captain of the wrestling team.,Skyler,0
6407,3,27,He thinks he's so great just 'cause he's undefeated.,Skyler,0
6408,3,28,Huh.,PJ,0
6409,3,29,So he's never lost a fight and I've never been in a fight.,PJ,1
6410,3,30,Huh.,PJ,0
6411,3,31,We should have lots to talk about.,PJ,0
6412,3,32,See ya.,Skyler,0
6413,3,33,"Man, the churro stage is complicated.",PJ,1
6414,4,0,Hello.,Teddy,0
6415,4,1,Hi.,Teddy,0
6416,4,2,"Mom, could you sign this, please? - Sure, honey.",Teddy,0
6417,4,3,Wait a second.,Gabe,0
6418,4,4,I know that move.,Gabe,1
6419,4,5,She's hiding something.,Gabe,1
6420,4,6,"No, I'm not.",Teddy,0
6421,4,7,Then move your hand away.,Gabe,0
6422,4,8,I don't want to.,Teddy,0
6423,4,9,A disciplinary notice? Yes! I knew it! Finally little miss perfect did something bad.,Gabe,0
6424,4,10,"Okay, Teddy honey, what did you do? What? Nothing.",Amy,0
6425,4,11,"I just got mad at a teacher because he lowered my grade for not filling in a stupid oval, so I snapped one of his stupid pencils.",Teddy,0
6426,4,12,"That's it? I've waited my whole life for that? Teddy honey, I'm not hearing that you did anything wrong.",Gabe,1
6427,4,13,"Well, that's because I didn't.",Teddy,0
6428,4,14,"Okay, I'll tell you what maybe I should go down and have a little talk with this guy.",Amy,0
6429,4,15,"Oh, no no no, please don't.",Teddy,0
6430,4,16,"Why not? Well, because whenever you get involved in stuff like this, you turn into - mama bear? - Mm-hmm.",Teddy,0
6431,4,17,Is that what you're worried about? Yes.,Amy,0
6432,4,18,"Because whenever mama bear comes out of her cave, bad things happen.",Teddy,0
6433,4,19,"Yeah, but they're usually entertaining.",Gabe,1
6434,4,20,"Teddy honey, I am more than capable of going down there and having a civilized discussion.",Amy,0
6435,4,21,Now who is this teacher? Mr.Others.,Amy,0
6436,4,22,Ah.,Amy,0
6437,4,23,Others.,Amy,0
6438,4,24,It figures.,Amy,0
6439,4,25,"Yeah, PJ.",Amy,0
6440,4,26,Had him.,Amy,0
6441,4,27,Gave him an f - when he clearly deserved a d-.,Amy,0
6442,4,28,Ooh.,Gabe,0
6443,4,29,"Can you please just promise me you won't get involved? Okay, if it's that important to you, I'll stay out of it.",Teddy,0
6444,4,30,Mama bear is going into hibernation.,Amy,0
6445,4,31,"Oh great, she forgot to sign this.",Teddy,0
6446,4,32,"Here, let me have it.",Gabe,1
6447,4,33,I've got her signature down.,Gabe,1
6448,5,0,Okay.,Bob,0
6449,5,1,"Come on, Charlie.",Bob,0
6450,5,2,Come on.,Bob,0
6451,5,3,Spin.,Bob,0
6452,5,4,Spin.,Bob,0
6453,5,5,"Come on, twirl around.",Bob,0
6454,5,6,"Well, do something cute.",Bob,0
6455,5,7,And that's why we need the lessons.,Bob,1
6456,5,8,People.,Others,0
6457,5,9,People.,Others,0
6458,5,10,Welcome to miss Donna's school of ballet.,Others,0
6459,5,11,"I'm miss Donna, and I am passionate about teaching the art of ballet to the next generation of ballerinas.",Others,0
6460,5,12,Did I get everyone's check? Very good.,Others,1
6461,5,13,"Now so the magic can begin, will the parents please exit to the hallway? And there's no peeking in the window.",Others,0
6462,5,14,It distracts the children.,Others,0
6463,5,15,"Um, um, mi miss Donna? - Yes? - Hi, Bob.",Bob,0
6464,5,16,"Listen, I promised my wife I'd videotape the class.",Bob,0
6465,5,17,"Well, I'm sure a giant man with a shiny camera won't distract the children.",Others,0
6466,5,18,"Okay, look, if I don't get this on tape, I'm in really big trouble.",Bob,0
6467,5,19,It's not my problem you're afraid of your wife.,Others,0
6468,5,20,"Okay, I am not afraid.",Bob,0
6469,5,21,I just have a very healthy respect.,Bob,1
6470,5,22,"All right, children, the first piece we're going to learn today is called 'a dance to spring.",Others,0
6471,5,23," If anyone needs to make a doody, please raise your hand.",Others,0
6472,5,24,Daddy.,Charlie ,0
6473,5,25,"No, dear, I said 'doody.",Others,0
6474,5,26,' - Daddy.,Charlie ,0
6475,6,0,"Um, Mr.Others.",Amy,0
6476,6,1,"Hi, I'm Amy, Teddy's mom.",Amy,0
6477,6,2,Ah.,Others,0
6478,6,3,Teddy.,Others,0
6479,6,4,She's one of my most Students.,Others,1
6480,6,5,Right.,Amy,0
6481,6,6,"Anyway, I wanted to talk to you about her last quiz.",Amy,0
6482,6,7,"Mrs.Duncan, parents must schedule an appointment for any conference.",Others,0
6483,6,8,"Right, and I am so sorry, but I'm here now during my lunch hour, so if you could just make an exception.",Amy,0
6484,6,9,"Oh, let me check over here where I posted the special rules that apply only to you.",Others,0
6485,6,10,"Oh, look, they don't exist.",Others,0
6486,6,11,"At any rate, as you can see by my desk, I am far too busy right now.",Others,0
6487,6,12,"Oh, okay.",Amy,0
6488,6,13,Mama bear just cleared your schedule.,Amy,1
6489,7,0,"Hey, Gabe, do me a favor Listen to this and tell me what you think.",PJ,0
6490,7,1,"What is it? - Well, I've gotta talk to Skyler's ex-boyfriend and tell him to quit bothering her.",PJ,0
6491,7,2,"Okay, let me stop you right there.",Gabe,1
6492,7,3,Go go go go.,Gabe,0
6493,7,4,"What? Oh, I just wanted to stop you.",Gabe,0
6494,7,5,I'm not interested.,Gabe,0
6495,7,6,"Okay, this is what I'm thinking about saying.",PJ,0
6496,7,7,"Hello, brock, you don't know me,' but I've heard a lot of great things about you.",PJ,0
6497,7,8,"If it isn't too much trouble, 'could you please maybe stop texting Skyler so much?' Are you trying to tell him off or invite him to the prom? Tell him off Nicely.",PJ,0
6498,7,9,So he won't get all punchy and hurty on me.,PJ,0
