id,Dialogue_id,Utterance_id,Sentence,Speaker,label
11243,1,0,"Great news, everybody! This year for once, I don't have to work on Thanksgiving.",PJ,0
11244,1,1,So we can all be together! And I can cook Thanksgiving dinner.,Teddy,0
11245,1,2,All right.,Teddy,0
11246,1,3,Yay.,Amy,0
11247,1,4,"Okay, what happened there? Honey, come on, it's just that cooking Thanksgiving dinner is a lot of work.",PJ,0
11248,1,5,"Yeah, are you sure we shouldn't just eat out? I mean, for your sake.",Charlie,0
11249,1,6,No way.,Gabe,0
11250,1,7,Every Thanksgiving I have to eat Turkey sandwiches.,PJ,0
11251,1,8,Out of the hospital vending machine.,Teddy,0
11252,1,9,And you guys have to go to the old time buffet.,Amy,0
11253,1,10,"This year we're gonna be together, And I am gonna cook.",Charlie,0
11254,1,11,Old time buffet offers quality and value.,Charlie,0
11255,1,12,"Yeah, and their chicken fingers, mwah! Right? We are having dinner here and that is final.",Teddy,0
11256,2,0,"All right, okay.",PJ,0
11257,2,1,"Actually, you know, I have a Thanksgiving announcement.",Amy,0
11258,2,2,This year we are going to be joined by grandpa.,Amy,0
11259,2,3,Grandpa Duncan.,Teddy,0
11260,2,4,Yeah.,Bob,0
11261,2,5,"Hurts, doesn't it? Oh, come on, you guys.",PJ,0
11262,2,6,My dad has some good qualities.,Teddy,1
11263,2,7,"Such as? You know what? He exhales carbon dioxide, which is needed by plants.",Teddy,0
11264,2,8,"All right, well, we've got bigger problems.",Teddy,0
11265,2,9,Mom's cooking Thanksgiving dinner.,Bob,0
11266,2,10,"Oh, no no no no no.",PJ,0
11267,2,11,The best chef in the house P.J.,Charlie,0
11268,2,12,Is cooking Thanksgiving dinner.,Charlie,0
11269,2,13,I am? She's never gonna let me.,Amy,0
11270,2,14,That's why you have to trick her.,Teddy,0
11271,2,15,"Give her the illusion that she's cooking, when in reality, You're the one doing all the work.",Bob,0
11272,2,16,"Got it, got it.",Bob,0
11273,3,0,Just one question.,Teddy,0
11274,3,1,What does illusion mean? Three words Cook Thanksgiving dinner.,Amy,0
11275,3,2,"Right now? Relax, dad.",Teddy,0
11276,3,3,Just messing with you.,Amy,0
11277,3,4,"Oh, by the way, thanksgiving two words.",Charlie,0
11278,3,5,"today's all burnt toast ? running late and dad jokes ? 'has anybody seen my left shoe?' ? I close my eyes, take a bite ? grab a ride, laugh out loud ? there it is up on the roof ? I've been there, I survived ? so just take my advice ? hang in there, baby, things are crazy ? but I know your future's bright ? hang in there, baby ? there's no maybe ? everything turns out all right ? sure life is up and down ? but trust me, it comes back around ? you're gonna love who you turn out to be ? hang in there, baby.",Bob,0
11279,3,6,"? What you drawing there, Charlie? A Turkey.",PJ,0
11280,3,7,Are you sure? - Yeah.,Teddy,0
11281,3,8,It looks a bit more like mashed potatoes.,Amy,0
11282,3,9,"Look, big Thanksgiving sale at the gizmo hut.",Bob,0
11283,3,10,They're selling mytabs for $49? That's awesome! I know! But we have to get in line early.,Charlie,0
11284,3,11,"Because they'll only have So we have to wait in line on Thanksgiving day? Yes, the sale starts at midnight.",PJ,0
11285,3,12,Why did they have to make it so hard? All we wanna do is celebrate.,Teddy,0
11286,3,13,The true meaning of Thanksgiving Buying electronics at terrific prices.,Bob,0
11287,3,14,I'm saying.,Bob,0
11288,3,15,Turkey.,Amy,0
11289,3,16,"Why do you always answer the door when I come over? How about you stop coming over and I'll stop answering the door? Hi, Mrs.",PJ,0
11290,4,0,Dabney.,Charlie,0
11291,4,1,"Amy, I have a question for you.",Gabe,0
11292,4,2,Do you know where I can get a small Turkey for one? It's just me this year.,Amy,0
11293,4,3,"Oh, well, where's Mr.",Bob,0
11294,4,4,Dabney? Didn't you hear? I divorced his sorry butt.,PJ,0
11295,4,5,"Oh, I'm so sorry to hear that.",Amy,0
11296,4,6,I'm not.,Bob,0
11297,4,7,We were just making each other miserable.,Teddy,0
11298,4,8,Now I can be the happy-go-lucky person I always was.,Gabe,0
